frame,time,stage1_vel,stage1_alt,stage2_vel,stage2_alt
496,0:00:16.533333,21.45792,16.764,406359.36,0.0
500,0:00:16.666667,21.45792,15.5448,,0.0
504,0:00:16.800000,19.22272,1.524,,0.0
508,0:00:16.933333,19.22272,,19.22272,
512,0:00:17.066667,22.352,,,0.0
516,0:00:17.200000,22.799039999999998,,,0.0
520,0:00:17.333333,23.24608,162.4584,,243.84
524,0:00:17.466667,23.24608,192.9384,,
528,0:00:17.600000,23.24608,197.8152,,
532,0:00:17.733333,23.69312,203.3016,,0.0
536,0:00:17.866667,23.69312,203.3016,,0.0
540,0:00:18,24.140159999999998,208.4832,24.140159999999998,208.4832
544,0:00:18.133333,24.140159999999998,208.4832,40.2336,
548,0:00:18.266667,24.5872,215.49360000000001,24.5872,215.49360000000001
552,0:00:18.400000,25.03424,215.49360000000001,,0.0
556,0:00:18.533333,25.03424,217.32240000000002,,0.0
560,0:00:18.666667,25.481279999999998,224.63760000000002,2.68224,0.0
564,0:00:18.800000,25.481279999999998,224.63760000000002,,304800.0
568,0:00:18.933333,25.92832,230.42880000000002,,0.0
572,0:00:19.066667,23.69312,236.22,,0.0
576,0:00:19.200000,23.69312,236.22,1.78816,0.0
580,0:00:19.333333,26.8224,242.0112,30.39872,0.0
584,0:00:19.466667,26.8224,247.8024,,
588,0:00:19.600000,26.8224,247.8024,3.57632,
592,0:00:19.733333,27.26944,253.8984,4.02336,
596,0:00:19.866667,27.71648,259.68960000000004,27.71648,259.68960000000004
600,0:00:20,27.71648,259.68960000000004,27.71648,259.68960000000004
604,0:00:20.133333,28.16352,266.0904,28.16352,266.0904
608,0:00:20.266667,28.16352,266.0904,28.16352,266.0904
612,0:00:20.400000,28.61056,272.1864,28.61056,272.1864
616,0:00:20.533333,29.0576,272.1864,29.0576,272.1864
620,0:00:20.666667,29.0576,272.1864,29.0576,272.1864
624,0:00:20.800000,29.0576,278.5872,29.0576,278.5872
628,0:00:20.933333,29.50464,284.988,29.50464,284.988
632,0:00:21.066667,29.95168,108.50880000000001,29.95168,108.50880000000001
636,0:00:21.200000,29.95168,108.50880000000001,29.95168,108.50880000000001
640,0:00:21.333333,30.39872,298.0944,30.39872,298.0944
644,0:00:21.466667,28.16352,304.8,28.16352,304.8
648,0:00:21.600000,28.16352,304.8,28.16352,304.8
652,0:00:21.733333,31.2928,311.5056,31.2928,311.5056
656,0:00:21.866667,34.42208,318.516,34.42208,318.516
660,0:00:22,34.42208,318.516,34.42208,318.516
664,0:00:22.133333,34.42208,325.5264,34.42208,325.5264
668,0:00:22.266667,34.42208,325.5264,34.42208,325.5264
672,0:00:22.400000,32.18688,332.5368,32.18688,332.5368
676,0:00:22.533333,32.633919999999996,339.85200000000003,32.633919999999996,339.85200000000003
680,0:00:22.666667,32.633919999999996,339.85200000000003,32.633919999999996,339.85200000000003
684,0:00:22.800000,33.08096,339.85200000000003,33.08096,339.85200000000003
688,0:00:22.933333,33.528,347.16720000000004,33.528,347.16720000000004
692,0:00:23.066667,33.97504,354.48240000000004,33.97504,354.48240000000004
696,0:00:23.200000,33.97504,354.48240000000004,33.97504,354.48240000000004
700,0:00:23.333333,34.42208,361.79760000000005,34.42208,361.79760000000005
704,0:00:23.466667,34.42208,361.79760000000005,34.42208,361.79760000000005
708,0:00:23.600000,34.86912,369.4176,34.86912,369.4176
712,0:00:23.733333,32.633919999999996,377.0376,32.633919999999996,377.0376
716,0:00:23.866667,32.633919999999996,377.0376,32.633919999999996,377.0376
720,0:00:24,35.7632,384.6576,35.7632,384.6576
724,0:00:24.133333,35.7632,392.5824,35.7632,392.5824
728,0:00:24.266667,35.7632,392.5824,35.7632,392.5824
732,0:00:24.400000,38.89248,400.5072,38.89248,400.5072
736,0:00:24.533333,36.65728,410.5656,36.65728,410.5656
740,0:00:24.666667,36.65728,408.7368,36.65728,408.7368
744,0:00:24.800000,37.10432,416.9664,37.10432,416.9664
748,0:00:24.933333,37.55136,416.9664,37.55136,416.9664
752,0:00:25.066667,37.55136,416.9664,37.55136,416.9664
756,0:00:25.200000,37.9984,425.196,37.9984,425.196
760,0:00:25.333333,38.44544,433.42560000000003,38.44544,433.42560000000003
764,0:00:25.466667,38.89248,441.96000000000004,38.89248,441.96000000000004
768,0:00:25.600000,38.89248,441.96000000000004,38.89248,441.96000000000004
772,0:00:25.733333,39.33952,450.49440000000004,39.33952,450.49440000000004
776,0:00:25.866667,39.78656,459.02880000000005,39.78656,459.02880000000005
780,0:00:26,35.7632,467.86800000000005,35.7632,467.86800000000005
784,0:00:26.133333,35.7632,467.86800000000005,35.7632,467.86800000000005
788,0:00:26.266667,40.68064,476.7072,40.68064,476.7072
792,0:00:26.400000,36.65728,485.5464,36.65728,485.5464
796,0:00:26.533333,36.65728,485.5464,36.65728,485.5464
800,0:00:26.666667,37.10432,494.6904,37.10432,494.6904
804,0:00:26.800000,37.55136,503.8344,37.55136,503.8344
